cor,vazao,pressao,altura,distancia_pontas,angulo_real,cv,vazao_real
Marrom,1.8925,2,30,50,95.5,21.55619416,1.57
Marrom,1.8925,2,30,50,94.53,21.38892615,1.57
,,,,,,,
Vermelha,1.514,4,30,50,103.46,25.9415282,1.82
Vermelha,1.514,4,30,50,103.96,27.96011694,1.83
Vermelha,1.514,4,30,50,104.12,27.41909569,1.82
,,,,,,,
Vermelha,1.514,3,30,50,100.11,26.93536471,1.55
Vermelha,1.514,3,30,50,100.53,26.83565375,1.55
Vermelha,1.514,3,30,50,100.53,27.25227744,1.56
,,,,,,,
Vermelha,1.514,2,30,50,94.44,31.09927267,1.27
Vermelha,1.514,2,30,50,94.96,29.71824132,1.27
Vermelha,1.514,2,30,50,94.62,31.11525504,1.27
,,,,,,,
Azul,1.1355,4,30,50,103.45,19.27185043,1.37
Azul,1.1355,4,30,50,103.86,19.41180737,1.38
Azul,1.1355,4,30,50,103.93,19.7630205,1.38
,,,,,,,
Azul,1.1355,3,30,50,100.26,20.28660914,1.19
Azul,1.1355,3,30,50,100.46,20.433597,1.19
Azul,1.1355,3,30,50,100.13,21.16645693,1.19
,,,,,,,
Azul,1.1355,2,30,50,94.13,25.3422987,0.95
Azul,1.1355,2,30,50,94.39,25.20387861,0.95
Azul,1.1355,2,30,50,95.15,25.21273028,0.96
,,,,,,,
Amarela,0.757,4,30,50,103.43,25.14029525,0.91
Amarela,0.757,4,30,50,103.52,25.65923137,0.9
Amarela,0.757,4,30,50,104.32,25.78414394,0.91
,,,,,,,
Amarela,0.757,3,30,50,99.23,27.88961546,0.78
Amarela,0.757,3,30,50,100.26,28.64059112,0.79
Amarela,0.757,3,30,50,100.69,27.64165978,0.79
,,,,,,,
Amarela,0.757,2,30,50,95.77,34.13100657,0.62
Amarela,0.757,2,30,50,95.55,32.33748037,0.62
Amarela,0.757,2,30,50,95.47,33.87071324,0.62
,,,,,,,
Verde,0.56775,4,30,50,89.63,29.1808538,0.69
Verde,0.56775,4,30,50,89.91,30.49313471,0.7
Verde,0.56775,4,30,50,89.7,30.0452943,0.69
,,,,,,,
Verde,0.56775,3,30,50,83.73,35.88804891,0.6
Verde,0.56775,3,30,50,83.33,35.27395439,0.6
Verde,0.56775,3,30,50,83.23,35.58591827,0.6
,,,,,,,
Verde,0.56775,2,30,50,75.8,49.87842914,0.48
Verde,0.56775,2,30,50,74.81,50.64007868,0.48
Verde,0.56775,2,30,50,75.92,49.8015026,0.48
,,,,,,,
Marrom,1.8925,4,30,30,105.46,7.320850812,2.14
Marrom,1.8925,4,30,30,105.37,8.344268189,2.14
Marrom,1.8925,4,30,30,105.71,8.145089133,2.14
,,,,,,,
Marrom,1.8925,3,30,30,100.63,7.154660003,1.93
Marrom,1.8925,3,30,30,100.14,8.690548529,1.94
Marrom,1.8925,3,30,30,100.79,7.528434836,1.94
,,,,,,,
Marrom,1.8925,2,30,30,95.47,5.145084874,1.57
Marrom,1.8925,2,30,30,95.5,5.035312689,1.57
Marrom,1.8925,2,30,30,94.53,5.005393863,1.56
,,,,,,,
Vermelha,1.514,4,30,30,103.46,17.93909354,1.82
Vermelha,1.514,4,30,30,103.96,9.084124673,1.83
Vermelha,1.514,4,30,30,104.12,8.284671963,1.82
,,,,,,,
Vermelha,1.514,3,30,30,100.11,8.136274383,1.53
Vermelha,1.514,3,30,30,100.53,8.101207547,1.54
Vermelha,1.514,3,30,30,100.53,8.397397656,1.54
,,,,,,,
Vermelha,1.514,2,30,30,94.44,7.600839429,1.26
Vermelha,1.514,2,30,30,94.96,7.285166228,1.27
Vermelha,1.514,2,30,30,94.62,7.443002829,1.27
,,,,,,,
Azul,1.1355,4,30,30,103.45,7.635140859,1.37
Azul,1.1355,4,30,30,103.86,6.487868623,1.37
Azul,1.1355,4,30,30,103.93,6.709672721,1.37
,,,,,,,
Azul,1.1355,3,30,30,100.26,5.338148963,1.18
Azul,1.1355,3,30,30,100.46,5.643252261,1.19
Azul,1.1355,3,30,30,100.13,5.385755275,1.18
,,,,,,,
Azul,1.1355,2,30,30,94.13,5.083660088,0.96
Azul,1.1355,2,30,30,94.39,4.658387131,0.96
Azul,1.1355,2,30,30,95.15,4.87102361,0.96
,,,,,,,
Amarela,0.757,4,30,30,103.43,8.086289771,0.91
Amarela,0.757,4,30,30,103.52,7.763966377,0.91
Amarela,0.757,4,30,30,104.32,8.207370092,0.92
,,,,,,,
Amarela,0.757,3,30,30,99.23,7.467879938,0.78
Amarela,0.757,3,30,30,100.26,7.550700534,0.78
Amarela,0.757,3,30,30,100.69,7.415860623,0.78
,,,,,,,
Amarela,0.757,2,30,30,95.77,7.632874207,0.62
Amarela,0.757,2,30,30,95.55,7.88416528,0.63
Amarela,0.757,2,30,30,95.47,7.687038468,0.63
,,,,,,,
Verde,0.56775,4,30,30,89.63,4.062605472,0.69
Verde,0.56775,4,30,30,89.91,3.825528536,0.69
Verde,0.56775,4,30,30,89.7,3.242000482,0.69
,,,,,,,
Verde,0.56775,3,30,30,83.73,4.211742467,0.6
Verde,0.56775,3,30,30,83.33,3.976674694,0.6
Verde,0.56775,3,30,30,83.23,4.878829191,0.6
,,,,,,,
Verde,0.56775,2,30,30,75.8,6.507167179,0.49
Verde,0.56775,2,30,30,74.81,6.720453089,0.49
Verde,0.56775,2,30,30,75.92,6.904994808,0.49
,,,,,,,
Marrom,1.8925,4,30,70,105.46,51.38815245,2.14
Marrom,1.8925,4,30,70,105.37,52.02561671,2.14
Marrom,1.8925,4,30,70,105.71,52.56214655,2.14
,,,,,,,
Marrom,1.8925,3,30,70,100.63,52.23484072,1.93
Marrom,1.8925,3,30,70,100.14,52.34742598,1.94
Marrom,1.8925,3,30,70,100.79,52.63625024,1.94
,,,,,,,
Marrom,1.8925,2,30,70,95.47,54.01668372,1.57
Marrom,1.8925,2,30,70,95.5,54.41669064,1.57
Marrom,1.8925,2,30,70,94.53,56.86951771,1.56
,,,,,,,
Vermelha,1.514,4,30,70,103.46,59.40903803,1.82
Vermelha,1.514,4,30,70,103.96,57.4953032,1.83
Vermelha,1.514,4,30,70,104.12,57.35230778,1.82
,,,,,,,
Vermelha,1.514,3,30,70,100.11,58.68342033,1.53
Vermelha,1.514,3,30,70,100.53,59.24032438,1.54
Vermelha,1.514,3,30,70,100.53,59.25745311,1.54
,,,,,,,
Vermelha,1.514,2,30,70,94.44,58.00397597,1.26
Vermelha,1.514,2,30,70,94.96,58.44027824,1.27
Vermelha,1.514,2,30,70,94.62,58.47598823,1.27
,,,,,,,
Azul,1.1355,4,30,70,103.45,55.58054171,1.37
Azul,1.1355,4,30,70,103.86,53.6981377,1.37
Azul,1.1355,4,30,70,103.93,53.56387641,1.37
,,,,,,,
Azul,1.1355,3,30,70,100.26,56.17157075,1.18
Azul,1.1355,3,30,70,100.46,56.14982931,1.19
Azul,1.1355,3,30,70,100.13,56.86136646,1.18
,,,,,,,
Azul,1.1355,2,30,70,94.13,54.4261065,0.96
Azul,1.1355,2,30,70,94.39,54.82720662,0.96
Azul,1.1355,2,30,70,95.15,54.93305575,0.96
,,,,,,,
Amarela,0.757,4,30,70,103.43,56.70861129,0.91
Amarela,0.757,4,30,70,103.52,56.01418029,0.91
Amarela,0.757,4,30,70,104.32,57.54497183,0.92
,,,,,,,
Amarela,0.757,3,30,70,99.23,59.54626866,0.78
Amarela,0.757,3,30,70,100.26,59.64699401,0.78
Amarela,0.757,3,30,70,100.69,59.40241622,0.78
,,,,,,,
Amarela,0.757,2,30,70,95.77,62.00417694,0.62
Amarela,0.757,2,30,70,95.55,60.4023393,0.63
Amarela,0.757,2,30,70,95.47,54.52822238,0.63
,,,,,,,
Verde,0.56775,4,30,70,89.63,57.97406387,0.69
Verde,0.56775,4,30,70,89.91,57.98903,0.69
Verde,0.56775,4,30,70,89.7,69.42244614,0.69
,,,,,,,
Verde,0.56775,3,30,70,83.73,46.94071554,0.6
Verde,0.56775,3,30,70,83.33,47.68126928,0.6
Verde,0.56775,3,30,70,83.23,46.64183403,0.6
,,,,,,,
Verde,0.56775,2,30,70,75.8,55.12608057,0.49
Verde,0.56775,2,30,70,74.81,54.04039852,0.49
Verde,0.56775,2,30,70,75.92,56.69475815,0.49
,,,,,,,
Marrom,1.8925,4,70,50,105.46,3.504118079,2.14
Marrom,1.8925,4,70,50,105.37,3.338777235,2.14
Marrom,1.8925,4,70,50,105.71,3.518882411,2.14
,,,,,,,
Marrom,1.8925,3,70,50,100.63,13.19823312,1.93
Marrom,1.8925,3,70,50,100.14,3.456470207,1.94
Marrom,1.8925,3,70,50,100.79,3.813702544,1.94
,,,,,,,
Marrom,1.8925,2,70,50,95.47,3.554456086,1.57
Marrom,1.8925,2,70,50,95.5,3.870217559,1.57
Marrom,1.8925,2,70,50,94.53,2.95656198,1.56
,,,,,,,
Vermelha,1.514,4,70,50,103.46,2.972970174,1.82
Vermelha,1.514,4,70,50,103.96,1.978175593,1.83
Vermelha,1.514,4,70,50,104.12,2.34764067,1.82
,,,,,,,
Vermelha,1.514,3,70,50,100.11,1.522969827,1.53
Vermelha,1.514,3,70,50,100.53,2.074514931,1.54
Vermelha,1.514,3,70,50,100.53,1.803371446,1.54
,,,,,,,
Vermelha,1.514,2,70,50,94.44,2.401480212,1.26
Vermelha,1.514,2,70,50,94.96,2.883744306,1.27
Vermelha,1.514,2,70,50,94.62,2.264086052,1.27
,,,,,,,
Azul,1.1355,4,70,50,103.45,4.544015805,1.37
Azul,1.1355,4,70,50,103.86,4.399326472,1.37
